BevÃƒÂ¶lkerung nach Gemeindebezirken seit 2002 Ã¢â‚¬â€œ auslÃƒÂ¤ndische Herkunft;;;;;;;;;;;;;;;;;;;
Gemeindebezirk;BevÃƒÂ¶lkerungsstand zum Stichtag 1.1.;;;;;;;;;;;;;;;;;;
;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Wien;427103;446144;462464;484670;504485;514454;526978;539845;551000;564181;579265;602881;629541;661142;704902;734709;759564;773176;790060
1. Innere Stadt;5347;5320;5299;5354;5468;5479;5454;5350;5363;5372;5431;5502;5459;5714;5874;5981;6002;5950;5950
2. Leopoldstadt;32163;33062;34022;34911;35977;37238;37712;38394;39057;39174;40185;39833;41752;43573;45218;46930;47770;47645;48231
3. LandstraÃƒÅ¸e;25164;25522;26388;27446;27994;28163;27860;28114;28461;29237;29936;30951;32053;33771;35853;36605;37532;38616;38992
4. Wieden;8386;8766;8979;9321;9875;10034;10327;10536;10703;10910;11061;11534;12024;12350;13321;13661;14069;14185;14190
5. Margareten;18319;19003;19615;20411;21087;21117;21412;21584;21782;22185;22267;22928;23690;24588;25602;26289;26870;27001;27107
6. Mariahilf;8814;9056;9037;9213;9464;9621;9796;9842;9965;10041;10151;10636;11151;11605;12281;12552;12930;12934;12925
7. Neubau;9165;9132;9227;9459;10498;9920;10056;10044;10148;10137;10208;10426;10852;11333;12013;12306;12607;12574;12464
8. Josefstadt;6107;6750;6960;7240;7209;7312;7521;7586;7588;7527;7613;7933;8313;8769;9331;9789;9990;9959;9815
9. Alsergrund;11614;11796;12448;13135;13039;13065;13388;13350;13589;13643;13814;14384;15023;15553;17774;17461;17486;17264;17290
10. Favoriten;42012;45060;47680;51439;54842;56972;59061;61839;64032;66604;69315;74569;78766;82288;87750;92246;96498;99525;102771
11. Simmering;18510;20098;21132;22375;23042;23606;25610;27188;28177;29098;29972;31100;32505;34292;36662;39073;40643;42323;44011
12. Meidling;22219;23506;25292;26733;28105;28912;29910;31146;31839;32729;33656;34817;36496;38349;40774;42810;44625;45145;45298
13. Hietzing;9285;9568;9644;10043;10281;10382;10488;10620;10754;11002;11077;11338;11974;12923;14685;15267;15592;15338;15731
14. Penzing;18097;19136;19434;20441;21279;21634;22206;22720;23107;23650;24337;25545;26640;28173;30731;31743;32608;33013;33783
15. Rudolfsheim-FÃƒÂ¼nfhaus;28550;29177;29873;30794;31880;32031;32346;32753;33135;33793;34080;35621;36940;38680;40890;41918;42365;41516;41191
16. Ottakring;30953;31950;32526;34609;36042;36330;36988;37549;38104;38514;39266;40789;42275;44317;46403;48224;49075;48914;48897
17. Hernals;16508;16860;17424;18346;19214;19319;19285;19350;19303;19435;19836;20561;21450;22534;23478;24488;25120;25170;25223
18. WÃƒÂ¤hring;12549;12863;13170;13689;14116;14314;14579;14778;14838;14799;15014;15611;16004;16792;17913;18424;18932;18770;18861
19. DÃƒÂ¶bling;15081;15691;16093;16590;17182;17741;18139;18379;18596;19068;19501;20119;20766;21729;23609;24613;25266;25916;26511
20. Brigittenau;27266;29097;30039;31452;32537;32982;33180;33869;34485;35568;36250;37426;38387;40144;41174;42781;43734;43660;44273
21. Floridsdorf;22811;24594;26058;27376;28880;29870;31252;32414;33550;35031;36780;38818;41215;43835;47558;50463;54100;56817;59325
22. Donaustadt;24379;25679;27060;28619;30047;31440;32742;34013;35475;36996;38995;41095;43511;46483;51069;54128;56818;60188;63691
23. Liesing;13804;14458;15064;15674;16427;16972;17666;18427;18949;19668;20520;21345;22295;23347;24939;26957;28932;30753;33530
Quelle: Statistik Austria Ã¢â‚¬â€œ Statistik des BevÃƒÂ¶lkerungsstandes und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;;;;;;;;;;;;;;;
